ID,Drug,Biomarker,Num of Article,PMID
79,pantoprazole,CYP2C19,13,28024166;32752034;31963319;27991432;27611887;27782887;27419077;27010145;32770672;32558923;31846760;29315506;27991432
80,parathyroid hormone,CASR,3,32698162;32537548;32373159
81,paroxetine,CYP2D6,24,31376146;31376146;32433340;31993325;31005596;30842914;30192434;30105921;29913934;28940476;28933337;31376146;32315439;31993325;31804922;30105921;29913934;32060866;31993325;31005596;30105921;29913934;29575226;28933337
82,patisiran,TTR,12,32865784;32500375;31131842;31069898;31034960;30907141;32616304;32175804;31777097;31706583;26338094;30644768
83,peginterferon alfa-2b,IL28B,3,24325405;24398031;25852288
84,perphenazine,CYP2D6,14,30035575;17429316;19902987;10770456;10688273;18075468;19902987;12936703;10709776;30035575;19902987;15788540;12083975;10770456
85,phenytoin,CYP2C9,19,32216088;31646624;30270535;30135636;31206740;32510242;32216088;32510242;32423989;31938857;30135636;32510242;32423989;32216088;30589990;30589990;30270535;32510242;30270535
86,phenytoin,CYP2C19,8,32216088;31646624;30135636;32216088;31938857;30399481;30135636;32216088
87,phenytoin,HLA-B,16,32457602;32216088;31646624;30270535;31206740;32510242;32216088;32510242;32510242;32216088;30589990;30589990;30270535;32510242;32055583;30270535
88,pimozide,CYP2D6,7,25200585;24050155;23059146;25200585;25868121;25200585;25200585
89,piroxicam,CYP2C9,1,28740425
90,prasugrel,CYP2C19,20,32029306;31670842;32100736;30647444;32713878;32320492;32065000;31643039;31549178;30599059;30074128;32723143;30993551;30647444;32100736;32065000;32029306;31643039;30599059;30074128
91,prasugrel,CYP3A5,1,29998574
92,prasugrel,CYP2B6,1,30993551
93,primaquine,G6PD,47,32176714;29324864;28852037;28417346;28376871;27458212;31549159;28852037;28107969;27267757;31383656;27077309;28852037;28676055;27267757;29357870;27077309;32372747;31701865;31596137;31383656;31225623;30959318;30871496;30674319;30409136;30210032;29677199;296
94,propafenone,CYP2D6,21,20373066;27957038;19817501;17164694;17001296;27203132;27957038;23588782;20551241;19817501;19062111;18356267;18027986;17164694;16609933;16192109;27957038;23588782;21508180;20373066;19817501
95,quinidine,CYP2D6,20,30219715;30058787;32198085;31868554;31925778;31868554;31730751;31113867;30219715;30058787;28834279;28347660;28340451;27836712;26892731;32755625;27756789;27643409;30133539;28340451
96,rabeprazole,CYP2C19,40,28024166;28859358;28577017;27991432;27782887;26427705;25473155;25411523;24739523;24615745;24501942;23474843;22971805;22486882;22493986;22706585;30038671;29193126;28859358;27010145;26124167;25473155;24501942;24099474;23350044;22648560;22493986;32770672;324
97,raltegravir,UGT1A1,8,32415340;28790862;30804050;29743555;27696440;27704562;27696440;27704562
98,risperidone,CYP2D6,16,32848719;31150659;32848719;32682874;31150659;32848719;31308582;32848719;32682874;32476097;31359271;31308582;31150659;30870237;30864366;30864366
99,rosuvastatin,SLCO1B1,6,30100615;30100615;31981411;31857620;31594719;30829592
100,simeprevir,IL28B,1,26991414
101,siponimod,CYP2C9,2,29735753;29735753
102,sodium phenylbutyrate,CPS1,2,28557353;28557353
103,sodium phenylbutyrate,OTC,1,25573644
104,tafamidis,TTR,34,32826087;23716704;32500375;32196976;30907141;25672679;25604431;22645721;22244854;23776379;23716704;32811187;27093678;32811187;32616304;32196976;31706583;31217346;30061394;29779881;28904227;28625364;28393633;27497715;27494299;27165517;26902880;26894299;261
105,tafenoquine,G6PD,13,28852037;28852037;28852037;32372747;31596137;31225623;30674319;29677199;28852037;28749773;24101478;12594633;30887947
106,tamsulosin,CYP2D6,5,32316326;32316326;29947950;32316326;29728928
107,telaprevir,IL28B,1,26790555
108,tetrabenazine,CYP2D6,4,23280482;27380342;29557243;23280482
109,ticagrelor,CYP2C19,12,32764090;32100736;32184647;32376540;32320492;32065000;31849282;32723143;32266041;32184647;32100736;32065000
110,tolterodine,CYP2D6,24,24619889;23292115;22277677;21273733;20530222;30574865;31090092;29742109;24619889;22277677;21352267;20530222;22491151;28087463;29742109;28087463;22277677;31090092;30542809;29995258;29742109;23292115;20530222;22491151
111,tramadol,CYP2D6,17,31969823;31963319;31486733;32681776;32598307;32538291;32442101;32848444;32442101;32214840;31969823;32848444;32538291;31969823;31213765;32214840;31486733
112,trimipramine,CYP2D6,8,32433340;14646691;14520122;10774635;14520122;10774635;14520122;10774635
113,umeclidinium,CYP2D6,1,23881566
114,upadacitinib,CYP2D6,1,31378969
115,valbenazine,CYP2D6,1,29557243
116,venlafaxine,CYP2D6,15,30312494;32433340;30485867;30105921;32561594;32561594;31658948;30838456;30312494;30105921;29702137;31688392;30838456;30105921;29702137
117,voriconazole,CYP2C19,17,31846723;32461666;31573401;31562869;31549389;31549386;32655651;32461666;32390847;32308538;31573401;31562869;32416606;32308538;31846723;31562869;32655651
118,vortioxetine,CYP2D6,8,32599653;27040602;32599653;22496396;27738380;27040602;26489070;24766668
119,warfarin,CYP2C9,16,32700644;32545989;32380173;32270628;32559398;32601017;32531309;32423989;32860733;32736411;32583677;32559398;32545989;32531309;32423989;32407591
120,warfarin,VKORC1,14,32700644;32669629;32270628;32559398;32531309;32860733;32669629;32583677;32566525;32559398;32531309;32433747;32426797;32426797
